com_code,course_code,course_name,instructors
2007,"BIO G525","ENVIR BIOTECH & WASTE MGMT","P SANKAR GANESH, Aishwarya Natarajan, Minali Singh, Vartika Singh"
192,"BIO G526","CANCER BIOLOGY","VIVEK SHARMA, Bakhya Shree Gb, Mohammad Mehaboob Subhani Mustafa"
2017,"BIO G651","PROTEIN & ENZYME BIOENGG","V RAMAKRISHNA, I Shivkumar, Deepika K, Kodam Pradeep"
1368,"BIOT F345","PROTEOMICS","SHUVADEEP MAITY"
549,"BITS C790T","INDEPENDENT STUDY","V V KRISHNA VENUGANTI"
596,"BITS C791T","TEACHING PRACTICE I","V V KRISHNA VENUGANTI"
520,"BITS C797T","PHD SEMINAR","V V KRISHNA VENUGANTI"
553,"BITS C799T","PHD THESIS","V V KRISHNA VENUGANTI"
2128,"BITS E593","READING COURSE I","V V KRISHNA VENUGANTI"
2490,"BITS E594","READING COURSE II","SUNNY KUMAR SINGH"
2101,"BITS E661","RESEARCH METHODOLOGY I","V V KRISHNA VENUGANTI"
857,"BITS E793T","PRACTICE LECT SERIES I","V V KRISHNA VENUGANTI"
1003,"BITS F110","ENGINEERING GRAPHICS","A Vasan, KURRA SURESH, Arshad Javed, Bandhan Bandhu Majumdar, Jagan Mohan Ponnada, Siddartha Koramati, Sangam Srikanth, Vijay Krupaker Maddu, Piyush Chandra Verma, Ankur Abhishek, Pichika S V V S Narayana, Abhishesh Pal, Gayatri Vineela M, Mallikarjun Patil V, Gaurav Sharma, G Sachin Chakravart, K Ramesh, Vuthipalli Harshitha, K Monika, Naveed Farooz, Raghu Piska, Chandu Parimi, Chirdeep N R, Ramayee L, Md Ikramullah Khan, Balla Bhavani Shankar, TO BE ANNOUNCED, K Rajitha, Ch Bala Venkata Hareen, Sheik Mohammed Zoheb Nawaz, Radha Kiranmaye Bandlamudi, YV Daseswara Rao, Amol Vuppuluri"
1004,"BITS F111","THERMODYNAMICS","Srikanta Dinda, Suresh Kanuri, Ramesh Babu A, Gulipalli Pallavi, Vikrant Kumar S, Dasika Prabhat Sourya, Nandini Bhandaru, Pankaj Kumar, SUPRADEEPAN K, Santanu Prasad Datta, Mrinal Ketan Jagirdar, KRC Murthy, R Parameshwaran"
1005,"BITS F112","TECHNICAL REPORT WRITING","MAYA VINAY, MG Prasuna, Santosh  Mahapatra"
1858,"BITS F113","GENERAL MATHEMATICS I","ROHIT GUPTA"
1892,"BITS F214","SCIENCE TECH & MODERNITY","BISWANATH DASH"
1861,"BITS F218","GENERAL MATHEMATICS III","JHUMA SEN GUPTA"
1632,"BITS F225","ENVIRONMENTAL STUDIES","HIMANSHU AGGARWAL, Chandu Parimi, Debashree B, Govu Radha, Madhuparna Chakraborty"
1334,"BITS F312","NEURAL NETWORKS AND FUZZY LOGIC","RAJESH KUMAR TRIPATHY, Samit Kumar Ghosh"
1237,"BITS F313","MULTICRITERION DEC MAKING IN ENGG & MGMT","K SRINIVASA RAJU"
2277,"BITS F314","GAME THEORY AND ITS APPLICATIONS","DURGESH C PATHAK"
1511,"BITS F316","NONLINEAR DYNA & CHAOS","ARAVINDA N RAGHAVAN"
2336,"BITS F327","ARTIFICIAL INTELLIGENCE FOR ROBOTICS","ABHISHEK SARKAR"
1337,"BITS F386","QUANTUM INFO & COMPUTING","K V SHIV CHAITANYA"
1592,"BITS F412","PRACTICE SCHOOL II","SP REGALLA"
1615,"BITS F413","PRACTICE SCHOOL II","SP REGALLA"
1248,"BITS F415","INTRODUCTION TO MEMS","SANKET GOEL, Pavar Sai Kumar, Sohan Dudala"
1808,"BITS F416","INTRO TO NANO SCIENCE","B HARIHARA  VENKATARAMAN, VSN Murthy"
1593,"BITS F421T","THESIS","A VASAN"
1616,"BITS F422T","THESIS","A VASAN"
1617,"BITS F423T","THESIS","A VASAN"
1619,"BITS F424T","THESIS","A VASAN"
1794,"BITS F428","ESSENTIALS OF STRATE MGT","SWATI ALOK"
1806,"BITS F431","FLEXIBLE MANUFACTURING SYSTEMS","ABHISHEK SARKAR, Panagatla Dinesh Goud"
2001,"BITS F437","TECHNICAL COMMUNICATION","ARUNA LOLLA, Jaya Sarkar"
2434,"BITS F452","BLOCKCHAIN TECHNOLOGY","G GEETHAKUMARI, Deepa Kumari"
2436,"BITS F454","BIO INSPIRED INTEL  ALGORITHMS AND APPLICATIONS","JABEZ J CHRISTOPHER"
1379,"BITS F467","BIOETHICS AND BIOSAFETY","SRINIVAS PRASAD K, RUCHI JAIN DEY, Shuvadeep Maity"
547,"BITS G513","STUDY IN ADVANCED TOPICS","V V KRISHNA VENUGANTI"
754,"BITS G529","RESEARCH PROJECT I","V V KRISHNA VENUGANTI"
755,"BITS G539","RESEARCH PROJECT II","V V KRISHNA VENUGANTI"
2003,"BITS G540","RESEARCH PRACTICE","V V KRISHNA VENUGANTI"
9,"BITS G553","REAL TIME SYSTEMS","SOUMYA J, P Veda Bhanu"
757,"BITS G649","READING COURSE","V V KRISHNA VENUGANTI"
1073,"CE F211","MECHANICS OF SOLIDS","SHIVANG SHEKHAR"
1075,"CE F213","SURVEYING","K RAJITHA, Sandra Maria Cherian, Vogeti Rishith Kumar, Krishnendu Sivadas"
2279,"CE F230","CIVIL ENGINEERING MATERIALS","PN RAO, Jittin Varghese, Pujitha Ganapathi C, Sk Rahaman"
2280,"CE F231","FLUID MECHANICS","K SRINIVASA RAJU"
1652,"CE F266","STUDY PROJECT","ANMALA JAGADEESH"
1196,"CE F312","HYDRAULIC ENGINEERING","ANMALA JAGADEESH, T Venkateswarlu, M Naveen Naidu, Nagalapalli Satish"
1197,"CE F313","FOUNDATION ENGINEERING","ANASUA GUHARAY"
2281,"CE F320","DESIGN OF REINFORCED CONCRETE","ARKAMITRA KAR"
1215,"CE F323","INTRO TO ENVIRN ENGG","MURARI R R VARMA"
1667,"CE F366","LABORATORY PROJECT","PRASANTA KUMAR SAHU"
1737,"CE F367","LABORATORY PROJECT","PRASANTA KUMAR SAHU"
1686,"CE F376","DESIGN PROJECT","PN RAO"
1753,"CE F377","DESIGN PROJECT","PN RAO"
1214,"CE F411","OPER RESEARCH FOR ENGIN","A VASAN"
1231,"CE F417","APP OF AI IN CIVIL ENGG","ANMALA JAGADEESH"
1227,"CE F431","PRIN OF GEO INFO SYST","K RAJITHA"
304,"CE G534","PAVEMENT MATERIAL CHARAC","V VINAYAKA RAM"
357,"CE G538","PROJECT PLAN & MGMT","BAHURUDEEN A"
931,"CE G545","AIRPORT PLANNING & DES","SRIDHAR RAJU"
2025,"CE G548","PAVEMENT MGMT SYSTEMS","V VINAYAKA RAM"
880,"CE G551","DYNAMICS OF STRUCTURES","MOHAN S C"
526,"CE G552","ADV STR MECH & STABILITY","SHIVANG SHEKHAR"
532,"CE G553","THEORY OF PLATES AND SHELLS","CHANDU PARIMI"
2199,"CE G562","ADVANCED CONCRETE TECHNOLOGY","ARKAMITRA KAR"
2337,"CE G565","TRANSPORTATION PLANNING","PRASANTA KUMAR SAHU"
2339,"CE G567","HIGHWAY DESIGN","SRIDHAR RAJU"
2340,"CE G568","TRAFFIC SYSTEMS ANALYSIS","BANDHAN BANDHU MAJUMDAR"
2341,"CE G569","TRANSPORTATION ECONOMICS","BANDHAN BANDHU MAJUMDAR"
2344,"CE G572","TRANSPORTATION DATA ANALYTICS","PRASANTA KUMAR SAHU"
345,"CE G612","ADVANCED STEEL STRUCTURE","MOHAN S C"
613,"CE G614","PRESTRESS CONCRETE STRUC","BAHURUDEEN A"
343,"CE G617","ADVANCE STRUC ANALYSIS","PN RAO"
326,"CE G619","FINITE ELEMENT ANALYSIS","RAGHU PISKA"
1069,"CHE F211","CHEMICAL PROCESS CALCULA","NANDINI BHANDARU"
1072,"CHE F212","FLUID MECHANICS","I SREEDHAR"
1071,"CHE F213","CHEM ENGG THERMODYNAMICS","SATYAPAUL SINGH AMARTHALURI"
1070,"CHE F214","ENGINEERING CHEMISTRY","KARTHIK CHETAN"
1653,"CHE F266","STUDY PROJECT","ARNAB DUTTA"
1184,"CHE F311","KINETICS & REACTOR DESIGN","IYMAN ABRAR"
1185,"CHE F312","CHEMICAL ENGG LAB I","BALAJI KRISHNAMURTHY, Vuchuru Kalyan, I Sreedhar, Aniruddha Ramadurgam, Karthik Chetan, Sadamanti Sireesha"
1186,"CHE F313","SEPARATION PROCESSES II","JAIDEEP CHATTERJEE"
1187,"CHE F314","PROCESS DES PRINCIPLES I","VIKRANT KUMAR S"
1668,"CHE F366","LABORATORY PROJECT","DEBIRUPA MITRA"
1738,"CHE F367","LABORATORY PROJECT","DEBIRUPA MITRA"
1687,"CHE F376","DESIGN PROJECT","DEBIRUPA MITRA"
1754,"CHE F377","DESIGN PROJECT","DEBIRUPA MITRA"
1206,"CHE F411","ENVIR POLLUTION CONTROL","SRIKANTA DINDA"
1205,"CHE F421","BIOCHEMICAL ENGINEERING","DEBIRUPA MITRA, Madhusmita Sahoo"
2178,"CHE F422","PETRO. REFI. TECH.","PANKAJ KUMAR"
2002,"CHE G523","MATHEMATICAL METHODS IN CHEMICAL ENGINEERING","BALAJI KRISHNAMURTHY"
2150,"CHE G556","ELECTROCHEMICAL ENGINERING","AFKHAM MIR, C Jhansi"
2152,"CHE G558","CHEMICAL PROCESS OPTIMIZATION","ARNAB DUTTA, Malayanur Srilekha"
2032,"CHE G622","ADV CHEMICAL ENGG THERMO","D PURNIMA, Yaddanapudi Varun"
1006,"CHEM F110","CHEMISTRY LABORATORY","TANMAY CHATTERJEE, Nilanjana Mukherjee, Nilanjan Dey, Kaja Sravani, J Subbalakshmi, B Hima Bindu, Manab Chakravarty, Shouvik Bhuin, KVG Chandrasekhar, Khetmalis Yogesh Mahadu, R Krishnan, Saraswati Roy, Durba Roy, Rituparna Hazra, D Ramaiah, Anamika Bandyopadhyay, Himanshu Aggarwal, T Leelasree, N Rajesh, Jayapriya V, Arijit Mukherjee, Reeshma Rameshan"
1007,"CHEM F111","GENERAL CHEMISTRY","SUBIT KUMAR SAHA, Ramakrishnan G, K Sumithra, Sahithi Reddy Andru, Rishika Aggrawal, Sameer Singh, B Aniket Diliprao, Chanchal Chakravarthy, Sayantan Halder, Sounak Roy, Soumitra Payra, Balaji Gopalan, Dinabandhu Patra, Anupam Bhattacharya, Mariya Midhu Francis, Nilanjan Dey, Adarash Kumar Shukla, Arijit Mukherjee, Aathira B"
1116,"CHEM F211","PHYSICAL CHEMISTRY I","AMIT NAG, Deepthi Priyanka Damera"
1117,"CHEM F212","ORGANIC CHEMISTRY I","MANAB CHAKRAVARTY, Banchhanidhi Prusti"
1118,"CHEM F213","PHYSICAL CHEMISTRY II","K SUMITHRA, Christina Nilavu"
1119,"CHEM F214","INORGANIC CHEMISTRY I","N RAJESH, Arunraj B"
1654,"CHEM F266","STUDY PROJECT","R KRISHNAN"
1559,"CHEM F311","ORGANIC CHEMISTRY III","KVG CHANDRASEKHAR, Tanmay Chatterjee, Nandikolla Adinarayana"
1560,"CHEM F312","PHYSICAL CHEMISTRY IV","DURBA ROY, Sruthi Peesapati"
1558,"CHEM F313","INSTRU METHODS OF ANAL","J SUBBALAKSHMI, Anupam Bhattacharya, Sd Anwarhussaini, Amit Nag, Anuradha Sureshrao Mohitkar, Himanshu Aggarwal"
1572,"CHEM F325","POLYMER CHEMISTRY","CHANCHAL CHAKRAVARTHY, Susmita Roy"
1575,"CHEM F326","SOLID STATE CHEMISTRY","SOUNAK ROY, Meenu P C"
1583,"CHEM F333","CHEMISTRY OF MATERIALS","BALAJI GOPALAN, Ankita Singh"
1587,"CHEM F337","GREEN CHEM & CATALYSIS","R KRISHNAN, Aluri Ravallika"
1669,"CHEM F366","LABORATORY PROJECT","ANUPAM BHATTACHARYA, Anuradha Sureshrao Mohitkar"
1739,"CHEM F367","LABORATORY PROJECT","ANUPAM BHATTACHARYA"
1688,"CHEM F376","DESIGN PROJECT","KVG CHANDRASEKHAR, Shivani Tripathi"
1755,"CHEM F377","DESIGN PROJECT","KVG CHANDRASEKHAR"
1008,"CS F111","COMPUTER PROGRAMMING","CHITTARANJAN HOTA, Lov Kumar, Subhrakanta Panda, S Rasagna Vakkalanka, Mrityunjay Singh, Ayan Das, Priyanka Rushikesh Chaudhary, T Sahithi, K Sai Anirudh"
1094,"CS F211","DATA STRUCTURES & ALGO","CHITTARANJAN HOTA, Apurba Das, Mandan Naresh, Ramaswamy Venkatakrishnan, S Rasagna Vakkalanka"
1092,"CS F213","OBJECT ORIENTED PROG","D V N SIVA KUMAR, Aruna Malapati, Pattiwar Shravan Kumar, R Gururaj, Chillara Anil Kumar, Deepa Kumari, T Sahithi"
1090,"CS F214","LOGIC IN COMPUTER SC","RAMASWAMY VENKATAKRISHNAN, Chavali Lalitha, Tathagat Ray"
1093,"CS F215","DIGITAL DESIGN","ANKUR BHATTACHARJEE, Ponnalagu R N, Amit  Kumar Panda, TO BE ANNOUNCED, Aditya Tiwari, Harish Vijay Dixit, Manish Laxminarayan Bhaiyya, Manish Rishi, Subhradeep Pal, Mrunali Dnyaneshwar Wagh, Jayapiriya U S, Amit Ranjan Azad, Sayan Kanungo, P Joshna, Karumbaiah Chappanda Nanaiah, Saroj Mondal, Ramakant"
1091,"CS F222","DISCR STRUC FOR COMP SCI","RAGHUNATH REDDY M, Manjanna B, K Simran"
1655,"CS F266","STUDY PROJECT","JABEZ J CHRISTOPHER"
1316,"CS F301","PRINCIPLES OF PROGG LANG","R GURURAJ, Asik Ibrahim N, Jabez J Christopher, S Vishwanath Reddy"
1320,"CS F303","COMPUTER NETWORKS","GOPAL KRISHNA KAMATH M"
1321,"CS F314","SOFTWARE DEVELOPMENT FOR PORTABLE DEVICES","MANIK GUPTA"
2437,"CS F315","INFORMATION AND COMMUNICATION TECH. AND DEV.","DIPANJAN CHAKRABORTY"
2439,"CS F317","REINFORCEMENT LEARNING","PARESH SAXENA"
2266,"CS F320","FOUNDATIONS OF DATA SCIENCE","NL BHANUMURTHY, Priyanka Rushikesh Chaudhary"
1317,"CS F342","COMPUTER ARCHITECTURE","SUVADIP BATABYAL, Nikumani Choudhury, Rajib Ranjan Maiti, Chillara Anil Kumar, Anand Agrawal"
1314,"CS F351","THEORY OF COMPUTATION","MRITYUNJAY SINGH, Raghunath Reddy M, S Vishwanath Reddy, Ramisetty Kavya"
1318,"CS F363","COMPILER CONSTRUCTION","JABEZ J CHRISTOPHER"
1670,"CS F366","LABORATORY PROJECT","JABEZ J CHRISTOPHER"
1740,"CS F367","LABORATORY PROJECT","JABEZ J CHRISTOPHER"
1315,"CS F372","OPERATING SYSTEMS","BARSHA MITRA, TO BE ANNOUNCED, DipanJan Chakraborty, Mandan Naresh, Manik Gupta, Paresh Saxena, Pattiwar Shravan Kumar"
1689,"CS F376","DESIGN PROJECT","JABEZ J CHRISTOPHER"
1756,"CS F377","DESIGN PROJECT","JABEZ J CHRISTOPHER"
2440,"CS F425","DEEP LEARNING","NL BHANUMURTHY, Chavali Lalitha, Ramisetty Kavya"
2441,"CS F426","GRAPH MINING","APURBA DAS"
2444,"CS F429","NATURAL LANGUAGE PROCESSING","ARUNA MALAPATI, K Simran"
1325,"CS F441","SEL TOPICS FROM COMP SC","MANJANNA B"
2450,"CS G518","INTERNET OF THINGS: DESIGN AND DEVELOPMENT","RAJIB RANJAN MAITI"
2004,"CS G525","ADV COMPUTER NETWORKS","NIKUMANI CHOUDHURY, Asik Ibrahim N"
2005,"CS G526","ADV ALGORITHMS & COMPLEXITY","TATHAGAT RAY, Anand Agrawal"
2108,"CS G527","CLOUD COMPUTING","SUBHRAKANTA PANDA"
918,"CS G553","RECONFIGURABLE COMPUTING","CHETAN KUMAR V, Syed Ershad Ahmed, Vikash Singh, Sharvani Gadgil"
782,"CS G623","ADVANCED OPERAT SYSTEMS","G GEETHAKUMARI, K Sai Anirudh"
362,"DE G531","PRODUCT DESIGN","NITIN RAMESH K, Aarjoo Jaimin"
678,"DE G611","DYNAMICS & VIBRATION","G R SABAREESH, Hemanth Mithun Praveen"
625,"DE G631","MATERIALS TECH AND TESTING","PIYUSH CHANDRA VERMA"
1380,"ECE F211","ELECTRICAL MACHINES","STP SRINIVAS, Alivelu Manga Parimi, Rabindra Mohanty, P Shambhu Prasad, Sarda Sharma, Nawin Ra, Renuka Loka, Santhi Durganjali Challa, Mithun Mondal, E Prasanth Kumar, Manoj Samal, Shrimathi H P, Sudha Radhika"
1381,"ECE F212","ELECTROMAGNETIC THEO I","Rahul Nigam, SARMISTHA BANIK, Subrahmanya Bhima Sankar D, Subash N. Karbelkar, Prasant Samantray"
1383,"ECE F214","ELECTRONIC DEVICES","SAYAN KANUNGO, BVVSN Prabhakar Rao, Parikshit Parshuram Sahatiya"
1382,"ECE F215","DIGITAL DESIGN","ANKUR BHATTACHARJEE, Ponnalagu R N, Amit  Kumar Panda, TO BE ANNOUNCED, Aditya Tiwari, Harish Vijay Dixit, Manish Laxminarayan Bhaiyya, Manish Rishi, Subhradeep Pal, Mrunali Dnyaneshwar Wagh, Jayapiriya U S, Amit Ranjan Azad, Sayan Kanungo, P Joshna, Karumbaiah Chappanda Nanaiah, Saroj Mondal, Ramakant"
1701,"ECE F266","STUDY PROJECT","SUBHRADEEP PAL"
1389,"ECE F311","COMMUNICATION SYSTEMS","BALASUBRAMANIAN M, Gopal Krishna Kamath M, G Jayeshkumar Pintubhai, Prashant Wali, T Sachin Ravikant, Runa Kumari, Priyanka B G, Sandeep Kumar"
1388,"ECE F314","EM FILEDS & MICRO ENGG","AMIT RANJAN AZAD"
1702,"ECE F366","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1705,"ECE F367","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1703,"ECE F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
1706,"ECE F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
1392,"ECE F434","DIGITAL SIGNAL PROCESS","S K SAHOO, Rajesh Kumar Tripathy, Adepu Vivek, Venkateswaran R, BVVSN Prabhakar Rao, Samit Kumar Ghosh"
1023,"ECON F211","PRINCIPLES OF ECONOMICS","MINI THOMAS, Ummuhabeeba Chaliyan, Bheemeshwar Reddy A, Athary Janiso, Archana Srivastava, Sudatta Banerjee, Rishi Kumar"
1120,"ECON F212","FUNDA OF FIN AND ACCOUNT","NIRANJAN SWAIN, Aaishwarya Narayanan"
1121,"ECON F213","MATHEMATIC & STAT METHOD","DUSHYANT KUMAR, Prakash Kumar Shukla"
1145,"ECON F214","ECONOMIC ENV OF BUSINESS","BHEEMESHWAR REDDY A"
1442,"ECON F241","ECONOMETRIC METHODS","RISHI KUMAR"
1656,"ECON F266","STUDY PROJECT","MINI THOMAS"
1446,"ECON F311","INTERNATIONAL ECONOMICS","ARCHANA SRIVASTAVA, Keerti Mallela"
1447,"ECON F312","MONEY BANKING & FIN MARKETS","SUNNY KUMAR SINGH, Salva.K"
1448,"ECON F313","ISSUES IN ECONOMIC DEV","DURGESH C PATHAK, Deepika Santhanakrishnan"
1923,"ECON F315","FINANCIAL MANAGEMENT","NIVEDITA SINHA, Tanaji Pavani Prabha"
2184,"ECON F345","BEHAVIORAL ECONOMICS","DUSHYANT KUMAR"
1565,"ECON F354","DERIVATIVES & RISK MGMT","T NAGARAJU, Shreya Biswas"
1547,"ECON F355","BUSS ANAL & VALUATION","NIRANJAN SWAIN, Bincy George, Shreya Lahiri"
1684,"ECON F366","LABORATORY PROJECT","MINI THOMAS"
1741,"ECON F367","LABORATORY PROJECT","MINI THOMAS"
1690,"ECON F376","DESIGN PROJECT","MINI THOMAS"
1757,"ECON F377","DESIGN PROJECT","MINI THOMAS"
1550,"ECON F411","PROJECT APPRAISAL","SUNNY KUMAR SINGH"
1566,"ECON F412","SECUR ANAL & PORTFOL MGT","SHREYA BISWAS, Pratheeksha G"
1553,"ECON F415","NEW VENTURE CREATION","R RAGHUNATHAN"
1874,"ECON F434","INTERNATIONAL BUSINESS","MINI THOMAS"
1875,"ECON F435","MARKETING RESEARCH","C H YAGANTI"
1568,"ECON F471","RESOURCES & ENVIR ECON","SUDATTA BANERJEE"
1009,"EEE F111","ELECTRICAL SCIENCES","MITHUN MONDAL, Sourav Nandi, Pratyush Chakraborty, Prasant Kumar P"
1077,"EEE F211","ELECTRICAL MACHINES","STP SRINIVAS, Alivelu Manga Parimi, Rabindra Mohanty, P Shambhu Prasad, Sarda Sharma, Nawin Ra, Renuka Loka, Santhi Durganjali Challa, Mithun Mondal, E Prasanth Kumar, Manoj Samal, Shrimathi H P, Sudha Radhika"
1078,"EEE F212","ELECTROMAGNETIC THEO I","Rahul Nigam, SARMISTHA BANIK, Subrahmanya Bhima Sankar D, Subash N. Karbelkar, Prasant Samantray"
1080,"EEE F214","ELECTRONIC DEVICES","SAYAN KANUNGO, BVVSN Prabhakar Rao, Parikshit Parshuram Sahatiya"
1079,"EEE F215","DIGITAL DESIGN","ANKUR BHATTACHARJEE, Ponnalagu R N, Amit  Kumar Panda, TO BE ANNOUNCED, Aditya Tiwari, Harish Vijay Dixit, Manish Laxminarayan Bhaiyya, Manish Rishi, Subhradeep Pal, Mrunali Dnyaneshwar Wagh, Jayapiriya U S, Amit Ranjan Azad, Sayan Kanungo, P Joshna, Karumbaiah Chappanda Nanaiah, Saroj Mondal, Ramakant"
1657,"EEE F266","STUDY PROJECT","SUBHRADEEP PAL"
1242,"EEE F311","COMMUNICATION SYSTEMS","BALASUBRAMANIAN M, Gopal Krishna Kamath M, G Jayeshkumar Pintubhai, Prashant Wali, T Sachin Ravikant, Runa Kumari, Priyanka B G, Sandeep Kumar"
1243,"EEE F313","ANALOG & DIGITAL VLSI DES","S K CHATTERJEE, Chowta Mallikharjunarao, Surya Shankar Dan"
1902,"EEE F348","FPGA BASED SYSTEM DESIGN LAB","CHETAN KUMAR V, Samala Jagadheesh, Venkatarao Selamneni"
1731,"EEE F366","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1742,"EEE F367","LABORATORY PROJECT","PARIKSHIT PARSHURAM SAHATIYA"
1691,"EEE F376","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
1758,"EEE F377","DESIGN PROJECT","KARUMBAIAH CHAPPANDA NANAIAH"
2288,"EEE F411","INTERNET OF THINGS","SANDEEP KUMAR, Ponnalagu R N, Renuka.H"
1260,"EEE F416","DIGITAL COMMUNICATION","SUBHRADEEP PAL"
1254,"EEE F422","MODERN CONTROL SYSTEMS","PRATYUSH CHAKRABORTY"
1256,"EEE F434","DIGITAL SIGNAL PROCESS","S K SAHOO, Rajesh Kumar Tripathy, Adepu Vivek, Venkateswaran R, BVVSN Prabhakar Rao, Samit Kumar Ghosh"
462,"EEE G510","RF MICROELECTRONICS","SOURAV NANDI, Battina Sindhu"
324,"EEE G512","EMBEDDED SYSTEM DESIGN","MB SRINIVAS, Jisy N K"
2175,"EEE G547","DEVICE DRIVERS","SOUMYA J, Aparna Nair M K"
698,"EEE G581","RF & MICROWAVE ENGG","HARISH VIJAY DIXIT, Priyalatha. P"
712,"EEE G591","OPTICAL COMMUNICATION","PRASANT KUMAR P, Chaluvadi V Naga Bhaskar"
707,"EEE G612","CODING THEORY & PRACTICE","RUNA KUMARI, V Sarath Sankar"
471,"EEE G613","ADV DIGITAL SIGNAL PROC","RAMAKANT"
921,"EEE G626","HARDWARE SOFTWARE CO-DSN","AMIT  KUMAR PANDA, Samala Jagadheesh"
2267,"EEE G641","APPLIED ESTIMATION THEORY","PRASHANT WALI, T Sachin Ravikant"
1539,"FIN F311","DERIVATIVES & RISK MGMT","T NAGARAJU, Shreya Biswas"
1545,"FIN F313","SECUR ANAL & PORTFOL MGT","SHREYA BISWAS, Pratheeksha G"
1542,"FIN F315","FINANCIAL MANAGEMENT","NIVEDITA SINHA, Tanaji Pavani Prabha"
1942,"FIN F414","FINANCIAL RISK ANALYTICS AND MANAGEMENT","T NAGARAJU"
1131,"GS F212","ENVIRON DEV & CLIMATE","LAVANYA SURESH"
1133,"GS F221","BUSINESS COMMUNICATION","ARUNA LOLLA"
1135,"GS F223","INTRO TO MASS COMM","SPANDAN BHATTACHARYA"
1159,"GS F242","CULTURAL STUDIES","ANHITI PATNAIK"
1165,"GS F245","EFFECTIVE PUBLIC SPEAK","SANTOSH  MAHAPATRA"
1137,"GS F322","CRITI ANAL OF LIT & CINE","MG PRASUNA"
1603,"HSS F222","LINGUISTICS","PRANESH BHARGAVA"
2319,"HSS F244","CRIME AND NEW MEDIA","ANHITI PATNAIK"
2321,"HSS F246","PHILOSOPHY OF NAGARJUNA","JAYESH A K"
2426,"HSS F248","INTRODUCTION TO DISABILITY STUDIES","SHILPAA ANAND"
1776,"HSS F266","STUDY PROJECT","PRANESH BHARGAVA"
1647,"HSS F318","INTRO TO ANTHROPOLOGY","SUCHISMITA SATPATHY"
1609,"HSS F328","HUMAN RESOURCES DEV","SWATI ALOK, Navya Kumar"
1598,"HSS F331","SANKARA'S THOUGHTS","MAYA VINAY"
1601,"HSS F332","CINEMATIC ART","SPANDAN BHATTACHARYA"
